Circuit_ID,fake_melbourne_v2,fake_santiago_v2,fake_vigo_v2,fake_ourense_v2,fake_valencia_v2,fake_athens_v2
1,0.105,0.061,0.129,0.064,0.063,0.096
2,0.155,0.057,0.151,0.081,0.093,0.124
3,0.099,0.065,0.16,0.09,0.098,0.11
4,0.119,0.053,0.114,0.091,0.083,0.111
5,0.106,0.054,0.153,0.069,0.079,0.131
6,0.121,0.054,0.118,0.082,0.073,0.106
7,0.112,0.051,0.15,0.078,0.083,0.116
8,0.125,0.057,0.136,0.071,0.092,0.114
9,0.275,0.046,0.142,0.072,0.07,0.161
10,0.267,0.065,0.162,0.088,0.122,0.228
11,0.279,0.096,0.137,0.089,0.127,0.215
12,0.192,0.046,0.161,0.083,0.078,0.199
13,0.101,0.046,0.127,0.087,0.072,0.11
14,0.118,0.058,0.17,0.103,0.1,0.109
15,0.11,0.065,0.157,0.081,0.059,0.12
16,0.105,0.061,0.137,0.078,0.093,0.1
17,0.108,0.064,0.127,0.078,0.092,0.111
18,0.1,0.061,0.16,0.09,0.081,0.097
19,0.092,0.041,0.14,0.083,0.065,0.125
20,0.101,0.047,0.136,0.085,0.061,0.111
21,0.093,0.041,0.063,0.112,0.101,0.048
22,0.129,0.047,0.07,0.106,0.101,0.067
23,0.088,0.044,0.067,0.12,0.108,0.053
24,0.09,0.047,0.084,0.102,0.099,0.046
25,0.093,0.041,0.074,0.117,0.109,0.063
26,0.115,0.05,0.072,0.103,0.111,0.068
27,0.079,0.053,0.058,0.103,0.105,0.052
28,0.102,0.061,0.056,0.102,0.121,0.063
29,0.082,0.038,0.061,0.121,0.099,0.063
30,0.061,0.045,0.11,0.082,0.067,0.038
31,0.069,0.051,0.054,0.063,0.066,0.051
32,0.068,0.045,0.053,0.099,0.115,0.046
